# Time-correlated data for fix JJ
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_flux[1]*c_flux[1] c_flux[2]*c_flux[2] c_flux[3]*c_flux[3] c_flux[4]*c_flux[4] c_flux[5]*c_flux[5] c_flux[6]*c_flux[6]
0 100
10 31500 292 -20948.9 -38698.3 -173125 -117578 -325638 -84506.4
11 35000 291 19554.1 47522.4 63491 151625 226922 116927
12 38500 290 27178.8 34629.4 -111677 37131.9 222764 -150588
13 42000 289 13778.7 -42937.3 -201629 -34361.1 -332439 -237186
14 45500 288 -10164.5 -26871.6 -163644 36004.7 -150344 -217481
15 49000 287 -64594.5 5652.64 333801 -208760 172345 104501
16 52500 286 4729.9 1243.34 154566 -25545.4 -68088.7 101771
17 56000 285 12674.4 587.944 140846 79101.6 -38813.1 78132
18 59500 284 16265.8 12193.5 23344 28582 124749 141660
19 63000 283 -5934.64 16452.6 -393899 -292898 29724.2 -291099
20 66500 282 33806.6 -43983.5 -292563 118774 -135635 -136571
21 70000 281 34409.7 24171.7 240639 262022 -106361 299892
22 73500 280 -7275.53 20496.5 50908.4 -99621.5 -127206 15044.6
23 77000 279 -8439.31 -7745.41 76642.9 -48256.5 72740.9 -74960.1
24 80500 278 81949.5 -10260.6 -84673.5 212270 -316315 -59262.5
25 84000 277 -41134 -2210.08 -49954.6 -259891 -17204.7 9804.25
26 87500 276 -60258.3 44466.6 101761 -9642.8 228754 209612
27 91000 275 29917.5 5652.32 -144272 185663 -210957 10846.1
28 94500 274 23750.4 -9263.46 -187566 -215382 -96690.6 -46293
29 98000 273 -8522.17 6881.36 33802.7 15606.5 98167.8 -7983.59
30 101500 272 1922.37 -55432.5 111338 104421 -162389 92392.3
31 105000 271 24418.6 68386.1 115319 172062 -47240.2 -29335.9
32 108500 270 28499.4 17775.4 -31731.4 5489.59 83383.9 61590.7
33 112000 269 -1253.36 -52558.8 145574 -66273.8 -42089.3 211973
34 115500 268 11241 52466.1 87338.2 220950 95030.4 52137.9
35 119000 267 44.3493 5361.03 -45311.7 61744.3 -121787 112116
36 122500 266 -20653 -34931.5 6003.47 -181114 -21600.2 24322
37 126000 265 -15891.7 16784.4 111190 100664 -45468.8 -3640.84
38 129500 264 18479.9 15592.3 285370 -19532.6 -19629.3 -67181.5
39 133000 263 42362.4 34780.2 -112375 -62004.5 84513.8 -186805
40 136500 262 -30020.8 -13297.1 -441603 -117597 95358.8 -224698
41 140000 261 -36239.2 -332.024 -324066 -56556.5 -145728 -107078
42 143500 260 53177.4 34707.8 112441 164872 14658.1 81115.5
43 147000 259 31321.5 21539.7 -49816.4 26029.8 71563 43877.1
44 150500 258 -66039.8 8962.6 -66583.2 87845.7 -20854.8 -189571
45 154000 257 -18638.9 -15279.1 274309 -80977.6 -179975 107132
46 157500 256 44243.2 -7268.3 4201.75 211716 117373 44507.7
47 161000 255 -25256.1 -12559.1 -139782 -56125.1 34487.2 -80656.7
48 164500 254 -58350 17127.2 111125 -187536 -128202 -2857.56
49 168000 253 3191.92 42417.1 186843 -60397.1 -129974 22485.3
50 171500 252 -6594.03 -6068.18 -175794 239821 83052.5 870.338
51 175000 251 -1945.35 38538.8 321921 -169213 -75368.7 72892.5
52 178500 250 12043.1 21331.8 215029 122864 -252373 251090
53 182000 249 -5780.03 -44462.4 107015 34193.6 -31691.4 176364
54 185500 248 15476.2 32473.3 -175100 132474 246834 -163130
55 189000 247 -4814.39 31959.6 -98076.1 -173168 -209012 11770
56 192500 246 -18814.8 -29329.3 58221.4 -10401.3 -118847 177701
57 196000 245 -47862.2 38373.9 -13572.9 20380.8 162356 -127533
58 199500 244 -6702.97 9859.37 282175 -166503 105730 7521.88
59 203000 243 -1230.7 14236.1 62896 -79909.7 -74322.2 47423.5
60 206500 242 1586.19 -47749.7 -185644 53147.4 -153272 -21266.2
61 210000 241 9962.12 1842.4 34370.3 -124559 163425 -11520.5
62 213500 240 43802.3 60750.8 220038 28286.9 219238 49543.6
63 217000 239 -28697.5 -15557.6 2798.69 171785 38228 -213748
64 220500 238 22444.2 -17985 -308259 154186 64692.3 -290412
65 224000 237 -5832.96 51211.9 -13005 -1017.23 148157 -114744
66 227500 236 -5914.19 5557.84 113292 -73951.2 -160913 -83330.2
67 231000 235 -18450.1 -24700.8 209240 -173042 -201370 83539
68 234500 234 -50099.1 39059.6 -44912.7 -443211 437247 56933.5
69 238000 233 -33215.8 413.122 -225709 146600 -74682.5 -316745
70 241500 232 47700.5 12456.4 -122045 61866.2 26740.1 53035.2
71 245000 231 14179.3 10948 -7232.77 22494.9 129449 6647.72
72 248500 230 -13628.6 -6748.79 207393 -2630.91 41575 -56419.4
73 252000 229 14891.1 61141.8 67654.4 186256 13558.9 43180.7
74 255500 228 35651.5 36670.3 52483.6 174283 202033 72520.7
75 259000 227 3954.1 33174.9 -109453 -49924.3 -45807.5 -35520.5
76 262500 226 -11244.9 33355.2 -216133 -46675.1 -46064.5 94585.2
77 266000 225 -67412.7 -6703.01 76688.2 -72733 -245849 112264
78 269500 224 18629.2 -12508.2 149421 16236.1 -89723.7 -7338.37
79 273000 223 39669.5 51185.5 24333 110466 143057 -119396
80 276500 222 -30895 16333.6 50958.7 197867 -270794 158412
81 280000 221 -5352.44 5142.67 370937 -35371.6 -87693.2 331266
82 283500 220 87683.2 62404.3 1071.03 183429 175107 -218588
83 287000 219 -14968.3 -20916 -258231 -75891.5 -251186 -226829
84 290500 218 -61190.8 -8399.15 -32040 16780.8 -42328.7 205297
85 294000 217 -14187 15370.9 -82293.3 129668 -167854 -26623.5
86 297500 216 -18892 -26558.7 83893.7 -56266.3 -44726.2 -43363.8
87 301000 215 22020.9 8606.63 102915 -182186 -84414.8 12694.7
88 304500 214 -10089.9 -2929.99 -278258 42523.6 101305 -63979.9
89 308000 213 -68491.9 -13624.1 -162331 -290952 51604.4 -295119
90 311500 212 10902.4 -30087 -22453.2 -138431 -105261 -44302.6
91 315000 211 35454.6 15833 73124.8 88879.4 -358516 6678.48
92 318500 210 18429.9 52911 -271841 56935.7 207772 -293512
93 322000 209 13766.4 -70359.9 -218075 -59114.4 -158407 -179007
94 325500 208 10549.1 -44235.9 117331 151969 -146613 52698.7
95 329000 207 -2764.79 64828.1 210019 202277 249436 84676.8
96 332500 206 -20697.2 17381.4 -270107 -109546 223935 -94495.9
97 336000 205 -16547.6 -64353.2 42138.7 11202.4 -462493 -179476
